"coef","effect"
0.0881434829145269,"QB"
0.118589277391176,"QB"
0.0956264260146027,"QB"
0.0898913237930844,"QB"
0.125732085343774,"QB"
0.0957984544347442,"QB"
0.11046589570341,"QB"
0.10536219195066,"QB"
0.103141674331052,"QB"
0.108650412840167,"QB"
0.0978875896833513,"QB"
0.102310394681406,"QB"
0.112804948379417,"QB"
0.0892145379560001,"QB"
0.0994861212748054,"QB"
0.0937279080100635,"QB"
0.110471433483056,"QB"
0.0904148375925289,"QB"
0.0986183687804724,"QB"
0.106622270666032,"QB"
0.113288656969356,"QB"
0.0923992208458518,"QB"
0.0966168456637778,"QB"
0.098629602177622,"QB"
0.0909980230547627,"QB"
0.0960765236598513,"QB"
0.0993181386564269,"QB"
0.105045361719444,"QB"
0.102097727017516,"QB"
0.105787084792406,"QB"
0.0950846172897674,"QB"
0.103372853585517,"QB"
0.106402387791037,"QB"
0.0962169666619496,"QB"
0.107109358289967,"QB"
0.0812404569007269,"QB"
0.0875519597025043,"QB"
0.0965457477978775,"QB"
0.109511532980393,"QB"
0.0932933457141912,"QB"
0.0937084989643864,"QB"
0.0839994602221874,"QB"
0.095508173198054,"QB"
0.101031011927217,"QB"
0.118041288568888,"QB"
0.0944128901928754,"QB"
0.09173936588987,"QB"
0.0777154590182425,"QB"
0.113600584718048,"QB"
0.106982630212031,"QB"
0.0909837521325698,"QB"
0.102294335397282,"QB"
0.0993002925899523,"QB"
0.0948760858727169,"QB"
0.09941249392893,"QB"
0.114767860653799,"QB"
0.0889147391490785,"QB"
0.0914963080401314,"QB"
0.092274133841774,"QB"
0.115162226413324,"QB"
0.111078205958291,"QB"
0.10204701685394,"QB"
0.112480952971091,"QB"
0.100842809306424,"QB"
0.100414853959105,"QB"
0.0904600497858859,"QB"
0.0989448621581052,"QB"
0.134159143675995,"QB"
0.115889010712791,"QB"
0.100663915625425,"QB"
0.097072617878413,"QB"
0.103564353753125,"QB"
0.0912663717319804,"QB"
0.102882986399875,"QB"
0.0980557451109751,"QB"
0.112695324483619,"QB"
0.0966766276137947,"QB"
0.0912196667082099,"QB"
0.0882821057625218,"QB"
0.0924819325102547,"QB"
0.11323166439299,"QB"
0.110167420313992,"QB"
0.0915686276510593,"QB"
0.098594727997875,"QB"
0.0938433928526101,"QB"
0.087471906859412,"QB"
0.0907026813799157,"QB"
0.0950024594516187,"QB"
0.100819212962551,"QB"
0.0883465723037922,"QB"
0.122361862737671,"QB"
0.104611427342045,"QB"
0.0918149729003081,"QB"
0.106754411044556,"QB"
0.111797850820656,"QB"
0.105623888913782,"QB"
0.099475394253702,"QB"
0.156042798444931,"QB"
0.105088868417406,"QB"
0.101905427313347,"QB"
0.100252938234833,"QB"
0.0889110180963545,"QB"
0.1133022155333,"QB"
0.112824726465119,"QB"
0.115721473477503,"QB"
0.0999977622787755,"QB"
0.0896316160735054,"QB"
0.0976614268298058,"QB"
0.0971287976882275,"QB"
0.111726060350137,"QB"
0.100672088849107,"QB"
0.0984657344050753,"QB"
0.119585512140418,"QB"
0.0894894651087816,"QB"
0.0854495454800641,"QB"
0.0888207168598598,"QB"
0.0966138201700425,"QB"
0.107071796189663,"QB"
0.112366307981037,"QB"
0.0886210799607265,"QB"
0.0906332311880014,"QB"
0.09958521802401,"QB"
0.103570915743805,"QB"
0.0907092166892663,"QB"
0.0947851665542794,"QB"
0.0978913100644087,"QB"
0.108829619529025,"QB"
0.103271564617421,"QB"
0.10272315994975,"Team"
0.111947295697149,"Team"
0.108103844612113,"Team"
0.106168979567247,"Team"
0.114549672531995,"Team"
0.109156288586367,"Team"
0.105172476324999,"Team"
0.105907634739765,"Team"
0.111176984286991,"Team"
0.108235942424105,"Team"
0.105905508694038,"Team"
0.100359526080728,"Team"
0.102014941689694,"Team"
0.104346986445304,"Team"
0.105458324619178,"Team"
0.103059204498421,"Team"
0.102129810320293,"Team"
0.108402978789044,"Team"
0.102923130196373,"Team"
0.115410009939403,"Team"
0.106504358695918,"Team"
0.0992321376758165,"Team"
0.107544171626044,"Team"
0.106193700095929,"Team"
0.10334161565278,"Team"
0.100859048175682,"Team"
0.104518732886984,"Team"
0.107577516328131,"Team"
0.10202916487556,"Team"
0.0999868919602958,"Team"
0.1019300962579,"Team"
0.105554359492214,"Team"
0.103599676873502,"Team"
0.112812943361022,"Team"
0.0932572932360445,"Team"
0.0994371048752185,"Team"
0.0977975743633285,"Team"
0.103492237596463,"Team"
0.10989952933835,"Team"
0.101758153655147,"Team"
0.103580126297793,"Team"
0.113883284778404,"Team"
0.0978735293826476,"Team"
0.105297745606485,"Team"
0.105160600738137,"Team"
0.0917907153619547,"Team"
0.0976161631521905,"Team"
0.110144179418096,"Team"
0.111612464621894,"Team"
0.105644733533304,"Team"
0.108265492650404,"Team"
0.106249017844691,"Team"
0.102977005386403,"Team"
0.10210794387793,"Team"
0.105983455382927,"Team"
0.10307137665065,"Team"
0.103536014725446,"Team"
0.111026370491865,"Team"
0.105818614138302,"Team"
0.110196664758687,"Team"
0.0963639006817967,"Team"
0.0951667073961883,"Team"
0.0975506381033844,"Team"
0.107392825427059,"Team"
0.100751766142784,"Team"
0.105893541662718,"Team"
0.108104744824049,"Team"
0.0986428584457916,"Team"
0.102545705035576,"Team"
0.106281773444326,"Team"
0.105613299241735,"Team"
0.107843560003278,"Team"
0.101337067734177,"Team"
0.102910059767907,"Team"
0.109344097567496,"Team"
0.103788939671725,"Team"
0.102998808614742,"Team"
0.107469391719564,"Team"
0.109942825245493,"Team"
0.107480158344223,"Team"
0.0976634607096052,"Team"
0.101619648394288,"Team"
0.104641640221878,"Team"
0.124229807770098,"Team"
0.105176822810687,"Team"
0.104807486291444,"Team"
0.10503391612154,"Team"
0.114267830005892,"Team"
0.101188907860834,"Team"
0.105952844017159,"Team"
0.106028558791371,"Team"
0.0973083948741527,"Team"
0.116184875343684,"Team"
0.109637849982573,"Team"
0.10163832938319,"Team"
0.11129603771528,"Team"
0.100036731188778,"Team"
0.117410259630362,"Team"
0.105670659902482,"Team"
0.108239327353038,"Team"
0.0988789082280913,"Team"
0.0959983570335864,"Team"
0.109417268670075,"Team"
0.107151226282159,"Team"
0.106861367191707,"Team"
0.112136154708909,"Team"
0.100961125080534,"Team"
0.11308131696959,"Team"
0.0982817436094694,"Team"
0.0974582551098353,"Team"
